SEGMENTO_PAIS|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|CICLO|FECHAALTA|STATUS_DESC|LN_PLAN_DESC|LN_SUBSCRIBER_STATUS_DESC|INT_PLAN_DESC|INT_ORIGINAL_ACTIVATION_DATE|TV_PLAN_DESC|TV_ORIGINAL_ACTIVATION_DATE|TV_TECNOLOGIA|TV_SERVICE_TECHNOLOGY|TV_SUBSCRIBER_STATUS_DESC|SUB_MAIN_OFFER_DESC|INT_SUBSCRIBER_STATUS_DESC|SUB_MAIN_OFFER_TRIODUO|ES_MOVISTARTOTAL|DESCUENTO_PROMOCION_PRODUCTO_DESC|DECOS_CANTIDAD
SEGMENTO_002|2078694927|CLIENT_00385|25590106|915011506|31|1967-09-01 00:00:00|Active||||1970-01-01 05:31:00||||||Troncal|Active|MonoInt|0||
SEGMENTO_004|2067016446|CLIENT_00306|10431606|349826506|31|2004-03-07 00:00:00|Active|MOVISTAR VOZ DUO CTRL ADSL B|Active|MOVISTAR INTERNET DUO CTRL ADSL B|2021-09-05 00:00:00||||||Dúo Plano Control B|Active|Duos BA|0||
SEGMENTO_004|2045269682|CLIENT_00521|44811516|047674606|31|2000-10-10 00:00:00|Active|MOVISTAR VOZ DMU|Active|MOV INTERNET DUO RA 22|2012-02-01 00:00:00||||||Dúo Movistar Voz Internet RA D22|Active|Duos BA|0||
SEGMENTO_004|2002061694|CLIENT_00005|09699585|602806306|17|2019-01-11 00:00:00|Active|||MOV INTERNET CAB RA|2019-09-11 00:00:00||||||Internet Movistar RA|Active|MonoInt|0||
SEGMENTO_004|2063755498|CLIENT_00835|83425595|059565406|31|2022-05-27 00:00:00|Active|||MOV INTERNET CAB RA|2022-05-27 00:00:00||||||Internet Movistar RA|Active|MonoInt|0||
SEGMENTO_004|2066685881|CLIENT_00643|50088206|789082506|31|2010-06-01 00:00:00|Active||||2010-06-01 00:00:00||||||Troncal|Active|MonoInt|0||
SEGMENTO_004|2078944293|CLIENT_00812|25776706|184557506|31|2001-11-24 00:00:00|Active|MOVISTAR TV SATELITAL D|Collection Suspension ( Subscr|Movistar Trio Internet DTH|2021-12-30 00:00:00|MOVISTAR ESTANDAR SATELITAL|2014-02-19 00:00:00|DTH|DTH|Active|Trío Movistar Voz Internet TV Satelital|Collection Suspension ( Subscr|Trios DTH|0|DTO FIDE S/ 5 ILIM|
SEGMENTO_004|2043153301|CLIENT_00849|34236116|112051606|17|2021-07-06 00:00:00|Suspended|||MOVISTAR DUO INTERNET A|2021-07-06 00:00:00|TV ESTANDAR HD|2021-07-06 00:00:00|HFC|CATV|Collection Suspension ( Subscr|Dúo Internet TV Estándar HD|Collection Suspension ( Subscr|Duos TV BA|0||3
SEGMENTO_004|2048226249|CLIENT_00600|15637585|704385306|17|2020-12-07 00:00:00|Active|MOVISTAR VOZ DMU|Active|MOV INTERNET DUO RA 22|2020-12-07 00:00:00||||||Dúo Movistar Voz Internet RA D22|Active|Duos BA|0||
SEGMENTO_004|2092679466|CLIENT_00431|66409995|202000506|31|2002-07-27 00:00:00|Active|MOVISTAR VOZ DMU RV M23|Active|MOV INTERNET CAB RV RET M23|2020-11-10 00:00:00||||||Dúo Movistar Voz Internet RV M23|Active|Duos BA|0||
SEGMENTO_004|2080284452|CLIENT_00739|92131095|632865537|31|2022-12-03 00:00:00|Active|MOVISTAR VOZ DMU|Active|MOV INTERNET DUO RA|2022-12-03 13:29:52||||||Dúo Movistar Voz Internet RA|Active|Duos BA|0||
SEGMENTO_004|2063960356|CLIENT_00283|83687795|678687406|17|2021-05-13 00:00:00|Active|MOVISTAR VOZ TRÍO B|Active|TRIO MOVISTAR INTERNET D|2021-05-13 00:00:00|TV ESTANDAR HD|2021-05-13 00:00:00|HFC|CATV|Active|Trío Voz Internet Estándar HD|Active|Trios CATV|0||2
SEGMENTO_004|2032321899|CLIENT_00907|41460516|253506606|31|2006-03-08 00:00:00|Active|MOVISTAR VOZ TRIO|Active|MOVISTAR INTERNET TRÍO|2022-02-16 00:00:00|TV ESTANDAR|2022-02-16 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar HD|Active|Trios CATV|0||2
SEGMENTO_002|2028712026|CLIENT_00204|145255911|751494247|31|2023-10-26 00:00:00|Active|MOVISTAR VOZ TMU S23|Active|MOV INTERNET CAF RA S23|2023-10-26 12:13:53|TV ESTANDAR HD A S23|2023-10-26 12:13:52|HFC|CATV|Active|Trio Mov. Voz Int. Estandar HD RA S23|Active|Trios CATV|0||2
SEGMENTO_004|2009785405|CLIENT_00403|17481395|325623406|31|2020-08-27 00:00:00|Active|||MOVISTAR SOLO INTERNET|2020-08-27 00:00:00||||||Internet Movistar|Active|MonoInt|0||
SEGMENTO_004|2088859624|CLIENT_00594|00573795|106847406|31|2009-10-13 00:00:00|Active|MOVISTAR VOZ DUO SNA|Active|Speedy Negocios Avanzados Internet II|2012-11-30 00:00:00||||||DUO SPEEDY NEG AVA|Active|Duos BA|0||
SEGMENTO_004|2055129772|CLIENT_00018|66621985|097029306|17|2021-06-14 00:00:00|Active|MOVISTAR VOZ TRÍO B|Active|TRIO MOVISTAR INTERNET D|2021-06-14 00:00:00|TV ESTANDAR HD|2021-06-14 00:00:00|FTTH|CATV|Active|Trío Voz Internet Estándar HD|Active|Trios CATV|0||2
SEGMENTO_004|2008388940|CLIENT_00121|06155806|893368506|31|2014-01-30 00:00:00|Active|MOVISTAR VOZ DUO CTRL ADSL B|Active|MOVISTAR INTERNET DUO CTRL ADSL B|2021-12-30 00:00:00||||||Dúo Plano Control B|Active|Duos BA|0|AJUSTE FID S/30 ILIM|
SEGMENTO_004|2061497280|CLIENT_00329|535599421|440017347|5|2023-12-23 00:00:00|Active|MOVISTAR VOZ DMU O23|Active|MOV INTERNET DUO RA O23|2023-12-23 11:55:24||||||Duo Movistar Voz Internet RA O23|Active|Duos BA|0||
SEGMENTO_004|2051775031|CLIENT_00190|37962116|069922606|17|2018-10-02 00:00:00|Active|MOVISTAR VOZ TRIO|Active|MOVISTAR INTERNET TRÍO|2021-07-18 00:00:00|TV ESTANDAR|2021-07-18 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar HD|Active|Trios CATV|0|Ajuste Renta Internet S/ 10.00 ILIM|2
SEGMENTO_004|2007125725|CLIENT_00268|23656016|637071606|17|2020-11-11 00:00:00|Active|MOVISTAR VOZ TRIO|Active|MOVISTAR INTERNET TRÍO|2020-11-11 00:00:00|TV ESTANDAR|2020-11-11 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar HD|Active|Trios CATV|0|Ajuste Renta Internet S/ 15.00 ILIM|4
SEGMENTO_004|2030249779|CLIENT_00177|35434385|832443306|31|1990-07-13 00:00:00|Active|MOVISTAR VOZ DUO|Active|MOVISTAR INTERNET DÚO|2021-01-26 00:00:00||||||Dúo Plano Local Internet|Active|Duos BA|0||
SEGMENTO_004|2025606787|CLIENT_00057|04605595|252412737|17|2023-02-15 00:00:00|Suspended|||MOV INTERNET CAB RA 22|2023-02-15 16:53:44||||||Internet Movistar RA D22|Suspended|MonoInt|0||
SEGMENTO_004|2013392711|CLIENT_00135|92388716|062288606|31|2022-06-22 00:00:00|Active|MOVISTAR VOZ DUO STD|Active|||TV ESTANDAR DUO TV B|2022-06-22 00:00:00|FTTH|CATV|Active|Dúo Movistar Voz Estándar Digital VOIP||Duos CATV|0||3
SEGMENTO_004|2043153301|CLIENT_00849|15236116|722051606|17|2020-12-05 00:00:00|Suspended|||MOVISTAR DUO INTERNET HD|2020-12-05 00:00:00|TV ESTANDAR DUO|2020-12-05 00:00:00|HFC|CATV|Collection Suspension ( Subscr|Dúo Internet Estándar HD|Collection Suspension ( Subscr|Duos TV BA|0||2
SEGMENTO_004|2064993907|CLIENT_00925|22960185|703601306|17|2019-11-04 00:00:00|Active|MOVISTAR VOZ TRIO|Active|MOVISTAR INTERNET TRÍO|2019-11-04 00:00:00|TV ESTANDAR|2019-11-04 00:00:00|HFC|CATV|Active|Trío Plano Local Internet Estándar HD|Active|Trios CATV|0|Ajuste al plan ip S/14.91 por 12 meses|2
SEGMENTO_004|2009118790|CLIENT_00144|25693116|568911606|17|2003-01-18 00:00:00|Active|MOVISTAR VOZ NACIONAL A|Active|MOVISTAR INTERNET DUO ADSL A|2012-05-18 00:00:00||||||Dúo Plano Local Internet A|Active|Duos BA|0||
SEGMENTO_004|2021187015|CLIENT_00146|32075085|467650306|17|2020-02-12 00:00:00|Suspended|||MOVISTAR SOLO INTERNET|2020-07-18 00:00:00||||||Internet Movistar|Collection Suspension ( Subscr|MonoInt|0||
SEGMENTO_004|2063960356|CLIENT_00283|81629595|526406406|31|2022-03-02 00:00:00|Suspended|||||TV ESTANDAR DIGITAL CMS|2022-03-02 00:00:00|FTTH|CATV|Collection Suspension ( Subscr|TV ESTANDAR DIGITAL||MonoTv|0||2
SEGMENTO_002|2023381522|CLIENT_00756|03530816|398698606|31|2015-09-21 00:00:00|Active|Q51 LINEA PREMIUM C|Active||||||||LN. PLANA LOCAL||MonoLn|0||
SEGMENTO_004|2053805361|CLIENT_00167|39746895|419578406|31|1982-09-01 00:00:00|Active|Q51 LINEA PREMIUM B|Active||||||||LN. SEMIPLANA LIBRE||MonoLn|0||
