SEGMENTO_PAIS|NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|FLAG_STAFF|PRODUCTO|FECHA_ALTA|ESTADO_LINEA|ESTADO_TELEFONO_RAZON|TIPO_LINEA|PRODUCT_DESC|PLAN_PRINCIPAL|CANT_PROMOCIONES|PROM_DSCTO|PLAN_ROAMING_DATOS|Fecha_Inicio_Permanencia|Fecha_Fin_Permanencia|Meses_Permanencia
SEGMENTO_002|2043300039|CLIENT_00704|009206321|745528847|N|Movil Abierto|23/08/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV|||Activación MB Internacionales|02/11/2025||
SEGMENTO_002|2043300039|CLIENT_00704|009206321|954881547|N|Movil Abierto|06/03/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/62.9|||Activación MB Internacionales|19/03/2026||
SEGMENTO_004|2058246578|CLIENT_00853|28725575|310231601|N|Movil Control|26/08/2019|Activo|Pedido de Cliente|M4|Control Caribu Movistar Libre|Plan Ahorro Mi Movistar S/39.9 VI|1|Descuento de 50% al plan x 12 meses|Activación MB Internacionales|27/01/2026||
SEGMENTO_004|2058246578|CLIENT_00853|28725575|710231601|N|Movil Abierto|26/08/2019|Activo|Negociación Equipo y/o SimCard|M4|Abierto Elige Todo Emp RD|Plan Elige Todo+ S/ 56.90|1|Descuento de 50% al plan x 12 meses||27/01/2026||
SEGMENTO_004|1031024653|CLIENT_00975|73812575|294918863|N|Movil Control|27/09/2014|Activo|Pedido de Cliente|Equipo|Control Elige Todo Emp con Roaming|Plan Elige Todo + C S/ 94.90|||Activación MB Internacionales|18/07/2018|26/04/2025|18
SEGMENTO_004|2052142070|CLIENT_00503|887064611|003403727|N|Movil Abierto|03/11/2021|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|Movistar Empresas S/ 62.9 I|1|Descuento de 30% al plan x 12 meses|Activación MB Internacionales|02/02/2026||
SEGMENTO_004|2077608678|CLIENT_00105|15302575|622658713|N|Movil Abierto|22/12/2007|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 90.9|||Activación MB Internacionales|29/07/2020|28/01/2022|18
SEGMENTO_004|2077608678|CLIENT_00105|15302575|622658713|N|Movil Abierto|22/12/2007|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 82.9|||Activación MB Internacionales|26/03/2022|25/09/2023|18
SEGMENTO_004|2033397761|CLIENT_00841|05833575|767093043|N|Movil Abierto|29/08/2011|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 41.9 II|||Activación MB Internacionales|15/01/2026||
SEGMENTO_004|2091901431|CLIENT_00297|537599131|363980557|N|Movil Abierto|26/05/2025|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/30 IV|||Activación MB Internacionales|15/06/2025||
SEGMENTO_004|2053911269|CLIENT_00373|775403901|528868527|N|Movil Control|17/08/2021|Suspendido|Cobranza Manual con Cargo|Equipo|Control Movistar Libre|RV Plan Mi Movistar S/48.9 III IP25|||Activación MB Internacionales|18/05/2023|18/11/2024|18
SEGMENTO_004|2053911269|CLIENT_00373|775403901|520911167|N|Movil Abierto|21/04/2026|Activo|Pedido de Cliente|M4|Abierto líneas adicionales B2B|B2B Líneas adicionales S/39.9|1|Bono ilim líneas adicionales V.R.S/ 39.9|Activación MB Internacionales|21/04/2026||
SEGMENTO_004|2053911269|CLIENT_00373|775403901|369539547|N|Movil Abierto|09/04/2024|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/32|||Activación MB Internacionales|09/04/2024|08/04/2025|12
SEGMENTO_004|2053911269|CLIENT_00373|775403901|137827047|N|Movil Abierto|29/12/2012|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/99.9||||09/04/2024|08/04/2025|12
SEGMENTO_004|2053911269|CLIENT_00373|775403901|157827047|N|Movil Abierto|29/12/2012|Activo|Cobranza Manual con Cargo|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 104.9 I|||Activación MB Internacionales|21/04/2026|20/10/2027|18
SEGMENTO_002|2060200980|CLIENT_00350|62740575|270307413|N|Movil Abierto|12/07/2007|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/52.9|||Activación MB Internacionales|13/03/2024|12/09/2025|18
SEGMENTO_002|2060200980|CLIENT_00350|62740575|132039543|N|Movil Abierto|03/05/2012|Activo|Pedido de Cliente|Equipo|Ab Elige Todo Sin Roaming|Plan Elige Todo + S/ 31.9||||20/10/2024||
SEGMENTO_002|2060200980|CLIENT_00350|62740575|850307413|N|Movil Abierto|12/07/2007|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/99.9|||Activación MB Internacionales|13/03/2024|12/09/2025|18
SEGMENTO_004|2023281496|CLIENT_00538|80317575|542639501|N|Movil Control|15/03/2019|Activo|Pedido de Cliente|Equipo|Control Elige + CORP|Plan Elige mas S/ 82.90||||14/03/2019|14/09/2020|18
SEGMENTO_004|2042683095|CLIENT_00668|007978821|636514057|N|Movil Abierto|12/11/2024|Activo|Pedido de Cliente|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/32|1|Ajuste IP de S/2 x18m RO N°224-2023 B2B ||17/02/2025||
SEGMENTO_004|2035226116|CLIENT_00450|20276516|745365606|N|Movil Abierto|13/12/2022|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|Movistar Empresas S/ 77.9 I|||Activación MB Internacionales|01/08/2025|31/07/2026|12
SEGMENTO_004|2054871546|CLIENT_00685|27574575|591972101|N|Movil Abierto|05/02/2018|Activo|Pedido de Cliente|Equipo|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/ 77.9|1|Descuento de 20% al plan x 12 meses|Activación MB Internacionales|26/05/2026||
SEGMENTO_004|2088485339|CLIENT_00716|323244011|578646717|N|Movil Abierto|27/12/2000|Activo|Cambio de Titularidad APC|Equipo|Abierto Elige Todo Emp RD|Mi Movistar Empresas S/ 66.9|||Activación MB Internacionales|14/01/2024|13/07/2025|18
SEGMENTO_004|2025216315|CLIENT_00075|18781575|491844333|N|Movil Abierto|10/08/2010|Activo|Pedido de Cliente|M4|Ab Elige Todo Sin Roaming|Plan Elige Todo + S/ 48.9||||01/08/2023||
SEGMENTO_004|2016722807|CLIENT_00364|838714921|210821957|N|Movil Abierto|20/12/2025|Activo|Pedido de Cliente|M4|Abierto líneas adicionales B2B|B2B Líneas adicionales S/29.9|1|Bono ilim líneas adicionales V.R.S/ 29.9|Activación MB Internacionales|16/12/2025||
SEGMENTO_004|2053911269|CLIENT_00373|775403901|447039547|N|Movil Abierto|09/04/2024|Activo|Cobranza Manual con Cargo|M4|Abierto Elige Todo Emp RD|B2B Movistar Empresas S/32|||Activación MB Internacionales|19/06/2026||
