NUMERO_IDENTIFICACION_FISCAL|RAZON_SOCIAL|COD_CLIENTE|COD_CUENTA|NRO_DOC_FISCAL|FUENTE|SISTEMA|FECHA_EMISION|FECHA_VTO|MONEDA|CHARGE_NET_AMOUNT|CHARGE_IGV_INVOICE|CHARGE_TOTAL_AMOUNT
2074525786|CLIENT_00733|626387331|741541857|S8AA-0008076684|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|85.72|15.43|101.15
2084347031|CLIENT_00887|65625575|596121473|S7AA-0068184699|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|118.52|21.34|139.86
2089275916|CLIENT_00133|404276421|621536347|S8AA-0008006986|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|50.30|9.06|59.36
2070148979|CLIENT_00202|499743311|678194227|S7AA-0068521431|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|31.38|5.65|37.03
2083087437|CLIENT_00371|118091211|812820337|S7AA-0068672092|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|20.71|3.72|24.43
2030405929|CLIENT_00212|894308431|179975957|S7AA-0068562336|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|53.33|9.60|62.93
2002500138|CLIENT_00445|92763575|582891443|S7AA-0068829129|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|25.21|4.54|29.75
2096447129|CLIENT_00321|13461575|371977173|S7AA-0068838267|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|33.75|6.08|39.83
2001156117|CLIENT_00442|622439031|682444357|S8AA-0008075975|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|44.20|7.95|52.15
2023967163|CLIENT_00238|586659131|417168557|S7AA-0068446347|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|112.65|20.28|132.93
2034212173|CLIENT_00843|687675321|217543147|S7AA-0068452314|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|63.78|11.47|75.25
2001809758|CLIENT_00443|621170631|096754167|S8AA-0008077519|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|44.13|7.95|52.08
2084347031|CLIENT_00887|435846421|136952347|S8AA-0008099744|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|112.65|20.28|132.93
2019876876|CLIENT_00461|428478431|112896957|S7AA-0068792072|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|56.06|10.09|66.15
2074525786|CLIENT_00733|626387331|649870857|S8AA-0008076683|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|67.93|12.22|80.15
2070952060|CLIENT_00669|159389821|305959657|S8AA-0007928060|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|17.74|3.19|20.93
2048306935|CLIENT_00452|726703631|730638167|S8AA-0008080799|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|28.64|5.17|33.81
2016442878|CLIENT_00427|676676521|143879447|S7AA-0068364423|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|112.53|20.26|132.79
2077048357|CLIENT_00123|494871031|192283257|S8AA-0007865642|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|100.79|18.14|118.93
2012438665|CLIENT_00737|844055821|106348157|S8AA-0007918086|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|109.63|19.73|129.36
2030170496|CLIENT_00469|339091911|641226957|S7AA-0067988183|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|50.13|9.02|59.15
2004792943|CLIENT_00818|261453231|813596557|S8AA-0007961873|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|106.72|19.21|125.93
2058153118|CLIENT_00729|853875821|741139947|S8AA-0007948791|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|32.15|5.79|37.94
2029816520|CLIENT_00874|244414621|676462647|S8AA-0007899035|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|31.38|5.65|37.03
2005357307|CLIENT_00223|619846321|878242147|S8AA-0008040899|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|59.86|10.77|70.63
2082900579|CLIENT_00127|630652821|744448857|S8AA-0007882067|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|136.38|24.55|160.93
2043931649|CLIENT_00311|176219431|361057957|S8AA-0008002817|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|42.90|7.71|50.61
2050012017|CLIENT_00285|200191431|608796857|S8AA-0007999449|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|118.46|21.33|139.79
2046639773|CLIENT_00422|659895821|033750167|S8AA-0007944445|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|55.99|10.09|66.08
2000414951|CLIENT_00221|305626821|438010057|S8AA-0008004484|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|20.53|3.69|24.22
2004941501|CLIENT_00776|050502621|445019857|S8AA-0007925397|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|106.78|19.22|126.00
2028858667|CLIENT_00821|87664306|851638857|FOBF-00121753|FACTURACION ACICLICA|AMDOCS|20260625|2026-06-25||.60|.11|.70
2088717616|CLIENT_00246|155347221|603152937|S7AA-0068142859|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|56.77|10.22|66.99
2077292308|CLIENT_00945|380329421|311026347|S8AA-0007830906|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|15.83|2.86|18.69
2050334437|CLIENT_00131|852548521|080575747|S8AA-0007948577|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|111.47|20.06|131.53
2019848889|CLIENT_00982|915098421|046892647|S8AA-0008053550|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|42.42|7.63|50.05
2027249828|CLIENT_00172|175639431|395777957|S8AA-0008002857|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|17.79|3.21|21.00
2078272562|CLIENT_00198|530659421|808326257|S8AA-0008103598|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|133.36|24.00|157.36
2087681453|CLIENT_00859|816856611|507734337|S7AA-0068733972|FACTURACION CICLICA|AMDOCS|20260623|2026-07-09|PEN|39.98|7.20|47.18
2053487352|CLIENT_00912|193190921|923907057|S8AA-0007856209|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|53.33|9.60|62.93
2086851615|CLIENT_00905|455932421|176083247|S8AA-0007932775|FACTURACION CICLICA|AMDOCS|20260627|2026-07-13|PEN|37.32|6.71|44.03
